n,lambda_parameter,execution_model,p1_physical_copies,p2_physical_copies,p3_physical_copies,total_message_state_preparations,message_physical_qubit_instances,s2_bell_pairs,s4_bell_pairs,s6_bell_pairs,total_bell_pairs,total_bell_qubits,fresh_qotp_key_bits,quantum_transmitted_qubits,classical_transmitted_bits,teleportation_operations,s5_controlled_swap_gates,s7_controlled_swap_gates,total_controlled_swap_gates,teleportation_measurements,swap_test_measurements,total_measurements,bell_pair_preparation_gates,qotp_unitary_applications,total_modeled_operations,peak_live_qubits,fixed_lambda_scaling_in_n,joint_lambda_n_scaling
18,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,162,90,90,54,234,468,2952,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,234,36,36,72,468,4,472,468,1008,2416,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
18,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,306,162,162,90,414,828,5256,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,414,72,72,144,828,8,836,828,1800,4328,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
18,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,594,306,306,162,774,1548,9864,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,774,144,144,288,1548,16,1564,1548,3384,8152,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
19,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,95,57,57,38,152,304,1900,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,152,19,19,38,304,2,306,304,646,1541,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
19,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,171,95,95,57,247,494,3116,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,247,38,38,76,494,4,498,494,1064,2550,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
19,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,323,171,171,95,437,874,5548,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,437,76,76,152,874,8,882,874,1900,4568,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
19,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,627,323,323,171,817,1634,10412,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,817,152,152,304,1634,16,1650,1634,3572,8604,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
20,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,100,60,60,40,160,320,2000,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,160,20,20,40,320,2,322,320,680,1622,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
20,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,180,100,100,60,260,520,3280,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,260,40,40,80,520,4,524,520,1120,2684,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
20,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,340,180,180,100,460,920,5840,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,460,80,80,160,920,8,928,920,2000,4808,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
20,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,660,340,340,180,860,1720,10960,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,860,160,160,320,1720,16,1736,1720,3760,9056,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
